BALLOTID	VOTE_DATE	COMMITTEE
48361	2014-10-21 12:52:08	BUDG
48362	2014-10-21 12:53:45	BUDG
48363	2014-10-21 12:54:50	BUDG
48364	2014-10-21 12:57:39	BUDG
48368	2014-10-23 12:15:40	CONT
48372	2014-10-23 12:16:18	CONT
48447	2014-10-22 01:41:53	BUDE
48461	2014-10-22 01:42:40	INTA
48481	2014-10-22 01:05:56	BUDE
48641	2014-10-22 01:48:32	ECON
48703	2014-10-22 01:30:42	BUDE
48707	2014-10-22 01:31:17	BUDE
48708	2014-10-22 01:31:30	BUDE
48710	2014-10-22 01:31:49	BUDE
48711	2014-10-22 01:32:07	BUDE
48713	2014-10-22 01:32:26	BUDE
48714	2014-10-22 01:32:41	BUDE
48715	2014-10-22 01:33:00	BUDE
48716	2014-10-22 01:33:25	BUDE
48717	2014-10-22 01:33:38	BUDE
48719	2014-10-22 01:33:57	BUDE
48721	2014-10-22 01:34:37	BUDE
48723	2014-10-22 01:35:02	BUDE
48725	2014-10-22 01:35:21	BUDE
48727	2014-10-22 01:36:02	BUDE
48728	2014-10-22 01:36:18	BUDE
48729	2014-10-22 01:37:05	BUDE
48730	2014-10-22 01:37:19	BUDE
48731	2014-10-22 01:37:35	BUDE
48732	2014-10-22 01:38:33	BUDE
48735	2014-10-22 01:39:11	BUDE
48736	2014-10-22 01:39:27	BUDE
48737	2014-10-22 01:39:52	BUDE
48739	2014-10-22 01:40:25	BUDE
48741	2014-10-22 01:41:06	BUDE
48742	2014-10-22 01:41:21	BUDE
48782	2014-10-23 12:15:02	INTA
48803	2014-10-22 01:43:26	ECON
49122	2014-11-13 11:10:38	BUDG
49123	2014-11-13 11:11:13	BUDG
49124	2014-11-13 11:15:22	AFET
49129	2014-11-13 11:14:43	AFET
49261	2014-11-25 12:26:01	DEVE
49299	2014-11-25 12:18:47	DEVE
49300	2014-11-25 12:19:06	DEVE
49301	2014-11-25 12:19:23	DEVE
49302	2014-11-25 12:19:44	DEVE
49314	2014-11-25 12:21:47	DEVE
49323	2014-11-25 12:23:22	DEVE
49324	2014-11-25 12:23:37	DEVE
49333	2014-11-25 12:08:38	JURI
49334	2014-11-25 12:09:25	JURI
49335	2014-11-25 12:09:57	BUDG
49336	2014-11-25 12:10:33	BUDG
49397	2014-11-26 12:47:49	ECON
49398	2014-11-26 12:44:01	ECON
49786	2014-12-18 11:48:25	AFET
49787	2014-12-18 11:48:58	AFET
49788	2014-12-17 12:24:57	INTA
49789	2014-12-17 12:25:27	INTA
49790	2014-12-16 12:12:38	ENVI
49796	2014-12-16 12:13:04	ENVI
49797	2014-12-16 12:13:31	ITRE
49798	2014-12-16 12:13:57	ITRE
49799	2014-12-16 12:14:19	INTA
49800	2014-12-16 12:14:41	REGI
49821	2014-12-16 12:15:09	BUDG
49822	2014-12-16 12:15:36	BUDG
49823	2014-12-16 12:16:02	BUDG
49824	2014-12-16 12:16:29	BUDG
49885	2014-12-17 12:25:53	BUDG
49886	2014-12-17 12:26:16	BUDG
49887	2014-12-17 12:26:39	BUDG
49888	2014-12-17 12:27:29	BUDG
49889	2014-12-17 12:27:51	BUDG
49890	2014-12-17 12:28:36	BUDG
49891	2014-12-17 12:28:58	BUDG
49892	2014-12-17 12:29:21	BUDG
49893	2014-12-17 12:29:47	BUDG
49894	2014-12-17 12:30:19	BUDG
49895	2014-12-17 12:27:06	BUDG
49896	2014-12-17 12:28:13	BUDG
50037	2014-12-17 12:37:10	BUDG
50038	2014-12-17 12:38:02	BUDG
50039	2014-12-17 12:38:55	BUDG
50040	2014-12-17 12:40:30	BUDG
50041	2014-12-17 12:40:49	BUDG
50042	2014-12-17 12:41:04	BUDG
50209	2015-01-13 01:01:25	PECH
50224	2015-01-15 12:23:26	PETI
50225	2015-01-13 12:57:42	PECH
50226	2015-01-13 12:58:05	PECH
50227	2015-01-13 12:58:27	AFET
50241	2015-01-13 12:59:31	ENVI
50285	2015-01-15 12:19:25	PETI
50286	2015-01-15 12:19:42	PETI
50287	2015-01-15 12:20:34	PETI
50288	2015-01-15 12:20:48	PETI
50289	2015-01-15 12:21:04	PETI
50290	2015-01-15 12:22:27	PETI
50544	2015-02-11 12:25:07	TRAN
50545	2015-02-11 12:25:32	PECH
50547	2015-02-11 12:47:45	DEVE
50548	2015-02-11 12:18:15	JURI
50549	2015-02-11 12:18:39	JURI
50550	2015-02-11 12:19:03	JURI
50551	2015-02-11 12:19:23	JURI
50552	2015-02-11 12:19:42	JURI
50553	2015-02-11 12:20:09	JURI
50554	2015-02-11 12:20:36	JURI
50555	2015-02-11 12:20:59	JURI
50556	2015-02-11 12:21:26	JURI
50557	2015-02-11 12:21:47	JURI
50558	2015-02-11 12:22:10	JURI
50559	2015-02-11 12:22:32	JURI
50560	2015-02-11 12:22:53	JURI
50561	2015-02-11 12:23:10	JURI
50585	2015-02-11 12:47:10	DEVE
50586	2015-02-11 12:47:28	DEVE
50901	2015-03-10 11:32:55	BUDG
50902	2015-03-10 11:33:26	BUDG
50903	2015-03-10 11:33:46	BUDG
50904	2015-03-10 11:34:04	BUDG
50905	2015-03-10 11:34:24	BUDG
50914	2015-03-10 12:00:29	ECON
50917	2015-03-10 12:01:12	ECON
50938	2015-03-10 11:52:01	FEMM
50940	2015-03-10 11:36:39	BUDG
50943	2015-03-10 11:36:05	ECON
50946	2015-03-10 11:35:24	ECON
50947	2015-03-11 01:25:40	INTA
50948	2015-03-11 01:26:04	JURI
50949	2015-03-11 01:26:28	JURI
50950	2015-03-11 01:26:52	JURI
50951	2015-03-11 01:27:13	JURI
50952	2015-03-11 01:27:31	PECH
50966	2015-03-11 01:38:28	CONT
50967	2015-03-11 02:00:31	IMCO
50984	2015-03-12 12:39:06	AFET
51003	2015-03-10 11:37:17	FEMM
51008	2015-03-10 11:38:25	FEMM
51009	2015-03-10 11:38:39	FEMM
51010	2015-03-10 11:38:54	FEMM
51017	2015-03-10 11:40:29	FEMM
51018	2015-03-10 11:40:43	FEMM
51019	2015-03-10 11:40:57	FEMM
51023	2015-03-10 11:41:57	FEMM
51030	2015-03-10 11:43:23	FEMM
51033	2015-03-10 11:43:54	FEMM
51035	2015-03-10 11:44:33	FEMM
51036	2015-03-10 11:44:48	FEMM
51037	2015-03-10 11:45:14	FEMM
51038	2015-03-10 11:45:57	FEMM
51039	2015-03-10 11:46:16	FEMM
51041	2015-03-10 11:46:55	FEMM
51042	2015-03-10 11:47:11	FEMM
51043	2015-03-10 11:47:29	FEMM
51044	2015-03-10 11:47:51	FEMM
51045	2015-03-10 11:48:05	FEMM
51046	2015-03-10 11:48:20	FEMM
51047	2015-03-10 11:48:44	FEMM
51048	2015-03-10 11:49:01	FEMM
51050	2015-03-10 11:49:44	FEMM
51051	2015-03-10 11:49:58	FEMM
51054	2015-03-10 11:50:22	FEMM
51055	2015-03-10 11:50:38	FEMM
51056	2015-03-10 11:51:08	FEMM
51057	2015-03-10 11:51:27	FEMM
51058	2015-03-10 11:51:42	FEMM
51062	2015-03-10 11:53:12	ECON
51065	2015-03-10 11:53:34	ECON
51069	2015-03-10 11:54:34	ECON
51070	2015-03-10 11:54:51	ECON
51077	2015-03-10 11:56:02	ECON
51081	2015-03-10 11:56:34	ECON
51082	2015-03-10 11:57:05	ECON
51083	2015-03-10 11:57:22	ECON
51084	2015-03-10 11:57:37	ECON
51088	2015-03-10 11:58:04	ECON
51089	2015-03-10 11:58:22	ECON
51090	2015-03-10 11:58:37	ECON
51092	2015-03-10 11:58:52	ECON
51093	2015-03-10 11:59:08	ECON
51094	2015-03-10 11:59:21	ECON
51097	2015-03-10 11:59:43	ECON
51098	2015-03-10 11:59:57	ECON
51099	2015-03-10 12:00:12	ECON
51132	2015-03-11 01:33:54	BUDG
51134	2015-03-11 01:48:37	ECON
51138	2015-03-11 01:59:32	EMPL
51151	2015-03-11 01:36:40	CONT
51153	2015-03-11 01:37:31	CONT
51154	2015-03-11 01:37:47	CONT
51155	2015-03-11 01:38:03	CONT
51168	2015-03-11 01:28:28	BUDG
51169	2015-03-11 01:29:00	BUDG
51170	2015-03-11 01:30:07	BUDG
51171	2015-03-11 01:30:21	BUDG
51172	2015-03-11 01:30:40	BUDG
51173	2015-03-11 01:32:21	BUDG
51174	2015-03-11 01:32:36	BUDG
51175	2015-03-11 01:32:51	BUDG
51176	2015-03-11 01:33:05	BUDG
51177	2015-03-11 01:33:21	BUDG
51180	2015-03-11 02:00:15	IMCO
51195	2015-03-12 12:24:48	AFET
51300	2015-03-11 01:49:12	EMPL
51317	2015-03-11 01:51:22	EMPL
51318	2015-03-11 01:51:38	EMPL
51319	2015-03-11 01:51:54	EMPL
51327	2015-03-11 01:52:55	EMPL
51330	2015-03-11 01:53:21	EMPL
51331	2015-03-11 01:53:36	EMPL
51341	2015-03-11 01:55:08	EMPL
51343	2015-03-11 01:55:25	EMPL
51344	2015-03-11 01:55:39	EMPL
51345	2015-03-11 01:55:57	EMPL
51357	2015-03-11 01:57:55	EMPL
51359	2015-03-11 01:58:19	EMPL
51360	2015-03-11 01:58:36	EMPL
51361	2015-03-11 01:58:52	EMPL
51362	2015-03-11 01:59:09	EMPL
51364	2015-03-12 12:25:40	AFET
51403	2015-03-12 12:31:32	AFET
51406	2015-03-12 12:32:04	AFET
51407	2015-03-12 12:32:19	AFET
51408	2015-03-12 12:32:33	AFET
51420	2015-03-12 12:34:00	AFET
51433	2015-03-12 12:13:56	AFET
51434	2015-03-12 12:14:12	AFET
51438	2015-03-12 12:15:12	AFET
51445	2015-03-12 12:16:21	AFET
51447	2015-03-12 12:17:05	AFET
51448	2015-03-12 12:17:21	AFET
51449	2015-03-12 12:17:36	AFET
51452	2015-03-12 12:18:01	AFET
51453	2015-03-12 12:19:02	AFET
51455	2015-03-12 12:19:52	AFET
51456	2015-03-12 12:20:09	AFET
51463	2015-03-12 12:23:16	AFET
51467	2015-03-12 12:24:30	AFET
51485	2015-03-12 12:33:26	AFET
51681	2015-03-25 19:21:01	ECON
51701	2015-03-25 19:07:14	BUDG
51715	2015-03-25 19:16:28	INTA
51716	2015-03-25 19:05:43	BUDG
51717	2015-03-25 19:06:12	BUDG
51728	2015-03-25 19:19:14	ECON
51738	2015-03-25 19:20:46	ECON
51739	2015-03-25 19:13:37	INTA
51740	2015-03-25 19:13:49	INTA
51741	2015-03-25 19:14:01	INTA
51742	2015-03-25 19:14:13	INTA
51743	2015-03-25 19:14:24	INTA
51744	2015-03-25 19:14:35	INTA
51745	2015-03-25 19:14:46	INTA
51746	2015-03-25 19:14:56	INTA
51747	2015-03-25 19:15:07	INTA
51748	2015-03-25 19:15:19	INTA
51749	2015-03-25 19:15:48	INTA
51750	2015-03-25 19:16:06	INTA
51801	2015-04-15 18:47:25	BUDG
51802	2015-04-15 18:47:57	EMPL
51803	2015-04-15 18:48:34	EMPL
51804	2015-04-15 18:49:07	BUDG
51882	2015-04-28 12:55:44	CULT
51886	2015-04-28 12:58:26	AGRI
51890	2015-04-28 12:56:05	CULT
51891	2015-04-28 12:55:11	AFET
51904	2015-04-29 12:19:13	EMPL
51905	2015-04-29 12:19:46	INTA
51906	2015-04-29 12:20:07	JURI
51907	2015-04-29 12:20:28	JURI
51908	2015-04-29 12:20:51	JURI
51909	2015-04-29 12:21:10	JURI
51910	2015-04-29 12:21:32	JURI
51911	2015-04-29 12:21:51	JURI
51945	2015-04-29 13:33:56	INTA
51946	2015-04-28 12:35:23	EMPL
51947	2015-04-28 12:35:56	BUDG
51979	2015-04-29 12:53:26	CONT
51983	2015-04-29 12:37:25	CONT
51984	2015-04-29 12:35:58	CONT
52016	2015-04-29 13:42:36	LIBE
52065	2015-04-29 13:23:00	CONT
52069	2015-04-29 13:09:23	CONT
52073	2015-04-29 13:03:18	CONT
52077	2015-04-29 13:02:40	CONT
52081	2015-04-29 12:59:00	CONT
52085	2015-04-29 12:55:00	CONT
52095	2015-04-29 13:04:49	CONT
52102	2015-04-29 12:56:34	CONT
52108	2015-04-29 12:58:06	CONT
52109	2015-04-28 12:41:29	ENVI
52125	2015-04-28 12:47:40	PECH
52126	2015-04-28 12:47:55	PECH
52130	2015-04-28 12:38:19	ENVI
52133	2015-04-28 12:38:48	ENVI
52134	2015-04-28 12:39:48	ENVI
52135	2015-04-28 12:40:06	ENVI
52136	2015-04-28 12:40:23	ENVI
52137	2015-04-28 12:40:39	ENVI
52141	2015-04-29 13:19:50	CONT
52145	2015-04-29 13:19:22	CONT
52149	2015-04-29 13:18:57	CONT
52153	2015-04-29 13:18:26	CONT
52157	2015-04-29 13:26:58	CONT
52161	2015-04-29 13:18:00	CONT
52165	2015-04-29 13:16:12	CONT
52169	2015-04-29 13:24:58	CONT
52173	2015-04-29 13:17:33	CONT
52177	2015-04-29 13:17:06	CONT
52181	2015-04-29 13:27:26	CONT
52185	2015-04-29 13:16:39	CONT
52190	2015-04-29 12:59:49	CONT
52194	2015-04-29 13:26:08	CONT
52198	2015-04-29 13:24:01	CONT
52211	2015-04-29 13:02:03	CONT
52215	2015-04-29 13:21:34	CONT
52219	2015-04-29 13:22:23	CONT
52223	2015-04-29 13:21:59	CONT
52226	2015-04-30 12:27:12	ECON
52230	2015-04-29 13:23:25	CONT
52234	2015-04-29 13:24:26	CONT
52238	2015-04-29 13:15:39	CONT
52242	2015-04-29 13:11:14	CONT
52246	2015-04-29 13:15:13	CONT
52250	2015-04-29 13:10:49	CONT
52254	2015-04-29 13:10:22	CONT
52258	2015-04-29 13:14:46	CONT
52262	2015-04-29 13:09:52	CONT
52266	2015-04-29 13:14:18	CONT
52270	2015-04-29 13:21:08	CONT
52274	2015-04-29 13:20:42	CONT
52278	2015-04-29 13:13:49	CONT
52282	2015-04-29 13:20:16	CONT
52286	2015-04-29 13:13:23	CONT
52290	2015-04-29 13:12:59	CONT
52302	2015-04-29 13:12:33	CONT
52306	2015-04-29 13:12:06	CONT
52310	2015-04-29 13:11:41	CONT
52341	2015-04-28 12:39:08	ENVI
52342	2015-04-28 12:39:31	ENVI
52346	2015-04-29 13:25:22	CONT
52429	2015-04-29 12:54:43	CONT
52430	2015-04-29 12:55:25	CONT
52431	2015-04-29 12:56:15	CONT
52432	2015-04-29 12:56:55	CONT
52434	2015-04-29 12:58:26	CONT
52436	2015-04-29 12:59:22	CONT
52437	2015-04-29 13:00:11	CONT
52439	2015-04-29 13:02:25	CONT
52440	2015-04-29 13:03:04	CONT
