BALLOTID	TAG_ID
48361	3.40.02
48361	4.15.05
48361	8.70.54
48362	3.40.03
48362	4.15.05
48362	8.70.54
48363	3.40.02
48363	4.15.05
48363	8.70.54
48364	3.40.03
48364	4.15.05
48364	8.70.54
48368	8.70.03.02
48372	8.70.03.02
48447	8.70.55
48461	6.20.03
48481	8.70.53
48481	8.70.54
48641	5.10.01
48703	8.70.55
48707	8.70.55
48708	8.70.55
48710	8.70.55
48711	8.70.55
48713	8.70.55
48714	8.70.55
48715	8.70.55
48716	8.70.55
48717	8.70.55
48719	8.70.55
48721	8.70.55
48723	8.70.55
48725	8.70.55
48727	8.70.55
48728	8.70.55
48729	8.70.55
48730	8.70.55
48731	8.70.55
48732	8.70.55
48735	8.70.55
48736	8.70.55
48737	8.70.55
48739	8.70.55
48741	8.70.55
48742	8.70.55
48782	6.20.03
48782	6.20.04
48803	5.10.01
49122	3.40.12
49122	4.15.05
49122	8.70.54
49123	3.40.17
49123	4.15.05
49123	8.70.54
49124	6.20.03
49124	6.40.15
49129	6.20.03
49129	6.40.15
49261	6.30
49299	6.30
49300	6.30
49301	6.30
49302	6.30
49314	6.30
49323	6.30
49324	6.30
49333	3.20.02
49333	7.40.02
49334	6.20.05
49334	7.40.02
49335	3.40.04
49335	4.15.05
49335	8.70.54
49336	3.40.13
49336	4.15.05
49336	8.70.54
49397	5.20.03
49398	2.50.10
49398	5.20.03
49786	6.20.03
49786	6.40.15
49787	6.20.03
49787	6.40.15
49788	3.10.06.01
49788	6.20.03
49788	6.20.04
49789	6.20.03
49789	6.20.04
49790	3.50.01.05
49790	4.60.04.04
49796	3.70.01
49796	3.70.18
49797	3.30.03.06
49797	3.40.05
49797	3.50.20
49798	3.50.20
49799	6.20.05
49799	6.40.01
49800	2.70.02
49800	4.70.06
49821	3.40.06
49821	4.15.05
49821	8.70.54
49822	3.40.03
49822	4.15.05
49822	8.70.54
49823	3.40.17
49823	4.15.05
49823	8.70.54
49824	3.20.01
49824	4.15.05
49824	8.70.54
49885	8.70.54
49886	8.70.54
49887	8.70.54
49888	8.70.54
49889	8.70.54
49890	8.70.54
49891	8.70.03
49891	8.70.53
49891	8.70.54
49892	8.70.01
49893	3.70.11
49893	8.70.55
49894	8.70.55
49894	8.70.70
49895	3.70.11
49895	8.70.54
49896	3.70.11
49896	8.70.54
50037	8.70.55
50038	8.70.55
50039	8.70.55
50040	8.70.55
50041	8.70.55
50042	8.70.55
50209	3.15.01
50209	3.15.04
50224	1.20.04
50225	3.15.15.02
50225	6.40.07
50226	3.15.15.03
50227	6.40.05.02
50241	3.10.06
50241	3.10.09.06
50241	3.10.10
50241	4.60.04.04
50285	1.20.04
50286	1.20.04
50287	1.20.04
50288	1.20.04
50289	1.20.04
50290	1.20.04
50544	1.20.09
50544	3.20.06
50545	3.15.15.02
50547	8.40.13
50548	6.20.03
50549	6.20.01
50549	6.20.02
50550	6.20.02
50551	6.20.02
50551	6.20.04
50552	6.20.02
50552	6.20.04
50553	4.10.02
50553	4.10.03
50553	7.40.02
50554	4.10.02
50554	4.10.03
50554	7.40.02
50555	4.10.02
50555	4.10.03
50555	7.40.02
50556	4.10.02
50556	4.10.03
50556	7.40.02
50557	4.10.02
50557	4.10.03
50557	7.40.02
50558	4.10.02
50558	4.10.03
50558	7.40.02
50559	4.10.02
50559	4.10.03
50559	7.40.02
50560	4.10.02
50560	4.10.03
50560	7.40.02
50561	8.40.01.02
50585	8.40.13
50586	8.40.13
50901	3.40.01
50901	4.15.05
50901	8.70.55
50902	3.40.06
50902	4.15.05
50902	8.70.55
50903	3.40.02
50903	4.15.05
50903	8.70.55
50904	3.40.02
50904	4.15.05
