MEPID	NAME_FULL	COUNTRY	NATIONAL_PARTY	GROUPE_ID	GENDER
101580	Constance LE GRIP	France	Les Républicains	PPE	F
1023	Jean-Marie LE PEN	France	Front national	NI	M
102886	Ildikó GÁLL-PELCZ	Hungary	Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt	PPE	F
102887	Béla KOVÁCS	Hungary	-	NI	M
102931	Keith TAYLOR	United Kingdom	Green Party	Verts/ALE	M
103246	Auke ZIJLSTRA	Netherlands	Partij voor de Vrijheid	NI	M
103381	Terry REINTKE	Germany	Bündnis 90/Die Grünen	Verts/ALE	F
103488	Sergio GUTIÉRREZ PRIETO	Spain	Partido Socialista Obrero Español	S&D	M
1037	Reimer BÖGE	Germany	Christlich Demokratische Union Deutschlands	PPE	M
1038	Karl-Heinz FLORENZ	Germany	Christlich Demokratische Union Deutschlands	PPE	M
103845	Virginie ROZIÈRE	France	Les radicaux de Gauche	S&D	F
1055	Godelieve QUISTHOUDT-ROWOHL	Germany	Christlich Demokratische Union Deutschlands	PPE	F
106202	Julia REID	United Kingdom	United Kingdom Independence Party	EFDD	F
107041	Heinz K. BECKER	Austria	Österreichische Volkspartei	PPE	M
107212	Andrey NOVAKOV	Bulgaria	Citizens for European Development of Bulgaria	PPE	M
107385	Sampo TERHO	Finland	Perussuomalaiset	ECR	M
108080	Franck PROUST	France	Les Républicains	PPE	M
109337	Philippe DE BACKER	Belgium	Open Vlaamse Liberalen en Democraten	ALDE	M
110977	Florian PHILIPPOT	France	Les Patriotes	EFDD	M
111011	Anthea McINTYRE	United Kingdom	Conservative Party	ECR	F
111014	Josef WEIDENHOLZER	Austria	Sozialdemokratische Partei Österreichs	S&D	M
111024	Jens NILSSON	Sweden	Arbetarepartiet- Socialdemokraterna	S&D	M
111027	Svetoslav Hristov MALINOV	Bulgaria	Democrats for Strong Bulgaria	PPE	M
111589	Inês Cristina ZUBER	Portugal	Partido Comunista Português	GUE/NGL	F
112611	Petri SARVAMAA	Finland	Kansallinen Kokoomus	PPE	M
112744	Tonino PICULA	Croatia	Socijaldemokratska partija Hrvatske	S&D	M
112748	Biljana BORZAN	Croatia	Socijaldemokratska partija Hrvatske	S&D	F
112753	Jozo RADOŠ	Croatia	Građansko-liberalni savez	ALDE	M
112755	Andrej PLENKOVIĆ	Croatia	Hrvatska demokratska zajednica	PPE	M
112788	Birgit COLLIN-LANGEN	Germany	Christlich Demokratische Union Deutschlands	PPE	F
113892	Eric ANDRIEU	France	Parti socialiste	S&D	M
113959	Martina ANDERSON	United Kingdom	Sinn Fein	GUE/NGL	F
114268	Nils TORVALDS	Finland	Svenska folkpartiet	ALDE	M
114279	Isabelle THOMAS	France	Génération.s, le mouvement	S&D	F
1164	Bruno GOLLNISCH	France	Front national	NI	M
117477	Mark DEMESMAEKER	Belgium	Nieuw-Vlaamse Alliantie	ECR	M
117491	Anneleen VAN BOSSUYT	Belgium	Nieuw-Vlaamse Alliantie	ECR	F
1179	Michèle ALLIOT-MARIE	France	Les Républicains	PPE	F
1185	Viviane REDING	Luxembourg	Parti chrétien social luxembourgeois	PPE	F
118658	Brian HAYES	Ireland	Fine Gael Party	PPE	M
118858	Marlene MIZZI	Malta	Partit Laburista	S&D	F
118859	Roberta METSOLA	Malta	Partit Nazzjonalista	PPE	F
119431	Ruža TOMAŠIĆ	Croatia	Hrvatska konzervativna stranka	ECR	F
119434	Dubravka ŠUICA	Croatia	Hrvatska demokratska zajednica	PPE	F
119435	Davor Ivo STIER	Croatia	Hrvatska demokratska zajednica	PPE	M
119436	Ivana MALETIĆ	Croatia	Hrvatska demokratska zajednica	PPE	F
1204	Alain LAMASSOURE	France	Indépendant	PPE	M
120478	Martina MICHELS	Germany	DIE LINKE.	GUE/NGL	F
122885	Rina Ronja KARI	Denmark	Folkebevægelsen mod EU	GUE/NGL	F
124287	Christine REVAULT D'ALLONNES BONNEFOY	France	Parti socialiste	S&D	F
124688	Christos STYLIANIDES	Cyprus	Democratic Rally	PPE	M
124689	Neoklis SYLIKIOTIS	Cyprus	Progressive Party of Working People - Left - New Forces	GUE/NGL	M
124691	Costas MAVRIDES	Cyprus	Democratic Party	S&D	M
124692	Demetris PAPADAKIS	Cyprus	Movement for Social Democracy EDEK	S&D	M
124693	Pascal DURAND	France	Europe Écologie	Verts/ALE	M
124695	Jan KELLER	Czech Republic	Česká strana sociálně demokratická	S&D	M
124696	Andrus ANSIP	Estonia	Eesti Reformierakond	ALDE	M
124697	Kaja KALLAS	Estonia	Eesti Reformierakond	ALDE	F
124698	Marju LAURISTIN	Estonia	Sotsiaaldemokraatlik Erakond	S&D	F
124699	Miroslav POCHE	Czech Republic	Česká strana sociálně demokratická	S&D	M
124700	Yana TOOM	Estonia	Eesti Keskerakond	ALDE	F
124701	Luděk NIEDERMAYER	Czech Republic	TOP 09 a Starostové	PPE	M
124702	Jaromír ŠTĚTINA	Czech Republic	TOP 09 a Starostové	PPE	M
124703	Tibor SZANYI	Hungary	Magyar Szocialista Párt	S&D	M
124704	Stanislav POLČÁK	Czech Republic	Starostové a nezávisli	PPE	M
124705	István UJHELYI	Hungary	Magyar Szocialista Párt	S&D	M
124706	Pavel TELIČKA	Czech Republic	Independent	ALDE	M
124707	Petr JEŽEK	Czech Republic	Independent	ALDE	M
124708	Dita CHARANZOVÁ	Czech Republic	ANO 2011	ALDE	F
124709	Martina DLABAJOVÁ	Czech Republic	ANO 2011	ALDE	F
124710	Michaela ŠOJDROVÁ	Czech Republic	Křesťanská a demokratická unie - Československá strana lidová	PPE	F
124711	Norbert ERDŐS	Hungary	Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt	PPE	M
124712	Andrea BOCSKOR	Hungary	Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt	PPE	F
124713	Tomáš ZDECHOVSKÝ	Czech Republic	Křesťanská a demokratická unie - Československá strana lidová	PPE	M
124714	Andor DELI	Hungary	Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt	PPE	M
124715	György HÖLVÉNYI	Hungary	Kereszténydemokrata Néppárt	PPE	M
124720	Tamás MESZERICS	Hungary	Lehet Más A Politika	Verts/ALE	M
124721	Benedek JÁVOR	Hungary	Együtt 2014 - Párbeszéd Magyarországért	Verts/ALE	M
124722	Csaba MOLNÁR	Hungary	Demokratikus Koalíció	S&D	M
124723	Péter NIEDERMÜLLER	Hungary	Demokratikus Koalíció	S&D	M
124725	Louis-Joseph MANSCOUR	France	Parti socialiste	S&D	M
124726	Henna VIRKKUNEN	Finland	Kansallinen Kokoomus	PPE	F
124727	Jussi HALLA-AHO	Finland	Perussuomalaiset	ECR	M
124728	Marc JOULAUD	France	Les Républicains	PPE	M
124729	Renaud MUSELIER	France	Les Républicains	PPE	M
124730	Fernando RUAS	Portugal	Partido Social Democrata	PPE	M
124731	Jérôme LAVRILLEUX	France	-	PPE	M
124732	Angélique DELAHAYE	France	Les Républicains	PPE	F
124733	Sofia RIBEIRO	Portugal	Partido Social Democrata	PPE	F
124734	Cláudia MONTEIRO DE AGUIAR	Portugal	Partido Social Democrata	PPE	F
124735	Miapetra KUMPULA-NATRI	Finland	Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti	S&D	F
124736	Merja KYLLÖNEN	Finland	Vasemmistoliitto	GUE/NGL	F
124737	Maria João RODRIGUES	Portugal	Partido Socialista	S&D	F
124738	Gilles LEBRETON	France	Rassemblement national	ENF	M
124739	Carlos ZORRINHO	Portugal	Partido Socialista	S&D	M
124740	Joëlle BERGERON	France	Sans étiquette	EFDD	F
124741	Ricardo SERRÃO SANTOS	Portugal	Partido Socialista	S&D	M
124742	António MARINHO E PINTO	Portugal	Partido Democrático Republicano	ALDE	M
124743	Artis PABRIKS	Latvia	-	PPE	M
124744	Guillaume BALAS	France	Génération.s, le mouvement	S&D	M
124745	Iveta GRIGULE-PĒTERSE	Latvia	Zaļo un Zemnieku savienība	EFDD	F
124746	Andrejs MAMIKINS	Latvia	"""Saskaņa"" sociāldemokrātiskā partija"	S&D	M
124747	Pedro SILVA PEREIRA	Portugal	Partido Socialista	S&D	M
124748	Marie-Christine ARNAUTU	France	Rassemblement national	ENF	F
