TAG_ID	TAG_LABEL
1	European citizenship
1.10	Fundamental rights in the EU, Charter
1.20	Citizen's rights
1.20.03	Right of petition
1.20.04	European Ombudsman
1.20.05	Public access to information and documents, administrative practice
1.20.09	Protection of privacy and data protection
2	Internal market, single market
2.10	Free movement of goods
2.10.01	Customs union, tax and duty-free, Community transit
2.10.02	Public procurement
2.10.03	Standardisation, EC standards and trademark, certification, compliance
2.20	Free movement of persons
2.30	Free movement of workers
2.40	Free movement of services, freedom to provide
2.40.01	Right of establishment
2.40.02	Public services, of general interest, universal service
2.50	Free movement of capital
2.50.02	Savings
2.50.03	Securities and financial markets, stock exchange, CIUTS, investments
2.50.04	Banks and credit
2.50.04.02	Electronic money and payments, cross-border credit transfers
2.50.05	Insurance, pension funds
2.50.08	Financial services, financial reporting and auditing
2.50.10	Financial supervision
2.60	Competition
2.60.01	Trade restrictions, concerted practices, dominant positions
2.60.03	State aids and interventions
2.60.04	Economic concentration, mergers, takeover bids, holding companies
2.70	Taxation
2.70.01	Direct taxation
2.70.02	Indirect taxation, VAT, excise duties
2.80	Cooperation between administrations
3	COMMUNITY POLICIES
3.10	Agricultural policy and economies
3.10.01	Agricultural structures and holdings, farmers
3.10.01.02	Rural development, European Agricultural Fund for Rural Development (EAFRD)
3.10.01.06	Less-favoured agricultural areas
3.10.03	Marketing and trade of agricultural products and livestock
3.10.04	Livestock farming
3.10.04.02	Animal protection
3.10.05	Livestock products, in general
3.10.05.01	Meat
3.10.05.02	Milk and dairy products
3.10.06	Crop products in general, floriculture
3.10.06.01	Fruit, citrus fruits
3.10.06.02	Vegetables
3.10.06.03	Cereals, rice
3.10.06.04	Fodder plants
3.10.06.05	Textile plants, cotton
3.10.06.06	Oleaginous plants
3.10.06.07	Sugar
3.10.06.08	Wine, alcoholic and non-alcoholic beverages
3.10.06.09	Industrial plants, tobacco, hops
3.10.06.10	Tropical plants
3.10.07	Animal and vegetable fats, oils
3.10.08	Animal health requirements, veterinary legislation and pharmacy
3.10.08.01	Feedingstuffs, animal nutrition
3.10.08.05	Animal diseases
3.10.09	Plant health legislation, organic farming, agro-genetics in general
3.10.09.06	Agro-genetics, GMOs
3.10.10	Foodstuffs, foodstuffs legislation
3.10.11	Forestry policy
3.10.14	Support for producers and premiums
3.10.14.04	Set-aside and agricultural reconversion
3.10.30	Agricultural statistics
3.15	Fisheries policy
3.15.01	Fish stocks, conservation of fishery resources
3.15.02	Aquaculture
3.15.03	Fishing fleets, safety of fishing vessels
3.15.04	Management of fisheries, fisheries, fishing grounds
3.15.05	Fish catches, import tariff quotas
3.15.06	Fishing industry and statistics, fishery products
3.15.07	Fisheries inspectorate, surveillance of fishing vessels and areas
3.15.08	Fishing enterprises, fishermen, working conditions on board
